,datetime_from,price,price1,price2,price3,is_weekend,is_holiday,dayofweek_sin,dayofweek_cos,month_sin,month_cos,hour_sin,hour_cos
5701,2024-03-21 13:00:00,63.77,46.83,63.78,65.046,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.25881904510252035,-0.9659258262890684
5702,2024-03-21 14:00:00,71.6,66.77,71.89,77.931,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388
5703,2024-03-21 15:00:00,79.46,86.67,84.93,86.978,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479
5704,2024-03-21 16:00:00,99.47,110.18,104.26,102.468,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004
5705,2024-03-21 17:00:00,121.89,124.24,127.03,120.375,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.9659258262890681,-0.2588190451025215
5706,2024-03-21 18:00:00,122.01,119.15,131.64,117.732,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16
5707,2024-03-21 19:00:00,96.91,114.0,111.08,94.334,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.9659258262890684,0.2588190451025203
5708,2024-03-21 20:00:00,81.58,103.55,92.64,82.505,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.866025403784439,0.49999999999999933
5709,2024-03-21 21:00:00,75.87,90.29,84.55,78.117,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.7071067811865477,0.7071067811865474
5710,2024-03-21 22:00:00,69.31,82.65,75.58,74.323,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384
5711,2024-03-21 23:00:00,58.48,82.47855812132703,71.3,69.119,0,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,-0.25881904510252157,0.9659258262890681
5712,2024-03-22 00:00:00,68.45,82.3123857195723,68.73,65.243,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.0,1.0
5713,2024-03-22 01:00:00,71.56,82.15139968038211,69.26,64.126,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683
5714,2024-03-22 02:00:00,70.0,81.99551688940272,68.72,64.753,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
5715,2024-03-22 03:00:00,73.37,81.84465423228038,67.86,66.378,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.7071067811865476,0.7071067811865476
5716,2024-03-22 04:00:00,73.03,81.69872859466136,72.32,71.832,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001
5717,2024-03-22 05:00:00,83.75,81.55765686219192,82.48,74.619,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.9659258262890682,0.25881904510252096
5718,2024-03-22 06:00:00,77.03,81.42135592051832,85.3,79.67,0,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
