datetime_from,price,price1,price2,price3,is_weekend,is_holiday,dayofweek_sin,dayofweek_cos,month_sin,month_cos,hour_sin,hour_cos
2024-06-28 19:00:00,130.97,147.38,216.23,208.64,0,0,-0.433883739117558,-0.9009688679024191,0.5000000000000003,-0.8660254037844385,-0.9659258262890684,0.2588190451025203
2024-06-28 20:00:00,115.0,102.37,138.79,131.611,0,0,-0.433883739117558,-0.9009688679024191,0.5000000000000003,-0.8660254037844385,-0.866025403784439,0.4999999999999993
2024-06-28 21:00:00,108.55,94.3,118.14,105.106,0,0,-0.433883739117558,-0.9009688679024191,0.5000000000000003,-0.8660254037844385,-0.7071067811865477,0.7071067811865474
2024-06-28 22:00:00,109.59,93.32,119.72,97.664,0,0,-0.433883739117558,-0.9009688679024191,0.5000000000000003,-0.8660254037844385,-0.5000000000000004,0.8660254037844384
2024-06-28 23:00:00,109.08,87.44,108.05,87.056,0,0,-0.433883739117558,-0.9009688679024191,0.5000000000000003,-0.8660254037844385,-0.2588190451025215,0.965925826289068
2024-06-29 00:00:00,104.65,82.75,100.21,82.994,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.0,1.0
2024-06-29 01:00:00,95.97,78.59,95.87,79.099,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.2588190451025207,0.9659258262890684
2024-06-29 02:00:00,96.07,76.17,88.24,78.518,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.4999999999999999,0.8660254037844387
2024-06-29 03:00:00,90.69,71.6,89.04,74.055,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.7071067811865476,0.7071067811865476
2024-06-29 04:00:00,85.31,72.26,82.21,73.082,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.8660254037844386,0.5000000000000001
2024-06-29 05:00:00,78.75,65.51,77.32,64.753,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.9659258262890682,0.2588190451025209
2024-06-29 06:00:00,63.82,51.42,64.12,51.061,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,1.0,6.123233995736766e-17
2024-06-29 07:00:00,29.58,29.3,48.89,38.73,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.9659258262890684,-0.2588190451025206
2024-06-29 08:00:00,5.04,18.34,43.88,21.46,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.8660254037844387,-0.4999999999999998
2024-06-29 09:00:00,1.04,14.75,40.07,16.632,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.7071067811865476,-0.7071067811865475
2024-06-29 10:00:00,5.12,13.89,46.83,18.282,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.5000000000000003,-0.8660254037844385
2024-06-29 11:00:00,5.33,15.81,43.38,25.923,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,0.258819045102521,-0.9659258262890682
2024-06-29 12:00:00,7.66,23.21,49.18,31.377,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,1.2246467991473532e-16,-1.0
2024-06-29 13:00:00,39.78,38.83,70.02,49.576,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-0.2588190451025203,-0.9659258262890684
2024-06-29 14:00:00,90.42,58.23,95.64,62.766,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-0.4999999999999997,-0.8660254037844388
2024-06-29 15:00:00,94.93,83.65,108.52,90.589,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-0.7071067811865471,-0.7071067811865479
2024-06-29 16:00:00,109.4,98.18,148.93,111.344,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-0.8660254037844385,-0.5000000000000004
2024-06-29 17:00:00,147.84,128.46,233.62,136.096,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-0.965925826289068,-0.2588190451025215
2024-06-29 18:00:00,157.59,143.02,271.24,151.926,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-1.0,-1.8369701987210294e-16
2024-06-29 19:00:00,150.42,129.81,204.51,150.633,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-0.9659258262890684,0.2588190451025203
2024-06-29 20:00:00,127.86,103.41,145.29,117.503,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-0.866025403784439,0.4999999999999993
2024-06-29 21:00:00,93.75,95.21,121.66,110.787,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-0.7071067811865477,0.7071067811865474
2024-06-29 22:00:00,95.11,93.48,120.6,87.111,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-0.5000000000000004,0.8660254037844384
2024-06-29 23:00:00,93.57,90.49,110.28,77.945,1,0,-0.9749279121818236,-0.2225209339563146,0.5000000000000003,-0.8660254037844385,-0.2588190451025215,0.965925826289068
2024-06-30 00:00:00,79.12,87.61,102.31,76.984,1,0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.0,1.0
2024-06-30 01:00:00,80.54,85.61,97.53,77.022,1,0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.2588190451025207,0.9659258262890684
2024-06-30 02:00:00,61.09,84.11,90.56,70.31,1,0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.4999999999999999,0.8660254037844387
2024-06-30 03:00:00,49.05,78.19,90.56,68.735,1,0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.7071067811865476,0.7071067811865476
2024-06-30 04:00:00,46.03,69.02,85.24,64.942,1,0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.8660254037844386,0.5000000000000001
2024-06-30 05:00:00,19.46,58.7,79.77,56.532,1,0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.9659258262890682,0.2588190451025209
2024-06-30 06:00:00,6.83,37.9,59.15,39.957,1,0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,1.0,6.123233995736766e-17
2024-06-30 07:00:00,0.82,18.71,34.24,24.534,1,0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.9659258262890684,-0.2588190451025206
2024-06-30 08:00:00,0.04,10.02,25.15,11.94,1,0,-0.7818314824680299,0.6234898018587334,0.5000000000000003,-0.8660254037844385,0.8660254037844387,-0.4999999999999998
