,datetime_from,price,price1,price2,price3,is_weekend,is_holiday,dayofweek_sin,dayofweek_cos,month_sin,month_cos,hour_sin,hour_cos
0,2024-07-03 00:00:00,93.32,91.92,94.66,94.105,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.0,1.0
1,2024-07-03 01:00:00,93.79,89.58,94.19,92.052,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.25881904510252074,0.9659258262890683
2,2024-07-03 02:00:00,95.0,91.52,93.34,92.137,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
3,2024-07-03 03:00:00,99.05,96.12,101.79,101.363,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.7071067811865476,0.7071067811865476
4,2024-07-03 04:00:00,110.43,112.3,116.11,116.166,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001
5,2024-07-03 05:00:00,121.29,111.47,123.77,130.686,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.9659258262890682,0.25881904510252096
6,2024-07-03 06:00:00,128.43,106.94,112.14,113.578,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17
7,2024-07-03 07:00:00,99.23,97.05,94.99,91.899,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.9659258262890683,-0.25881904510252063
8,2024-07-03 08:00:00,99.61,85.67,84.88,72.87,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998
9,2024-07-03 09:00:00,99.04,78.7,78.66,66.969,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.7071067811865476,-0.7071067811865475
10,2024-07-03 10:00:00,97.92,74.72,80.86,68.305,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.5000000000000003,-0.8660254037844385
11,2024-07-03 11:00:00,97.95,75.04,87.14,78.602,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0.258819045102521,-0.9659258262890682
12,2024-07-03 12:00:00,99.05,76.42,96.25,87.706,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0
13,2024-07-03 13:00:00,124.0,86.24,106.91,98.128,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.25881904510252035,-0.9659258262890684
14,2024-07-03 14:00:00,130.0,93.27,118.74,101.806,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388
15,2024-07-03 15:00:00,115.03,101.98,117.3,109.09,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.7071067811865471,-0.7071067811865479
16,2024-07-03 16:00:00,129.22,111.62,156.26,141.638,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004
17,2024-07-03 17:00:00,160.09,153.81,244.45,186.694,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.9659258262890681,-0.2588190451025215
18,2024-07-03 18:00:00,212.57,177.15,277.78,229.56,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16
19,2024-07-03 19:00:00,168.8,147.86,209.49,183.782,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.9659258262890684,0.2588190451025203
20,2024-07-03 20:00:00,127.82,114.68,139.35,139.994,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.866025403784439,0.49999999999999933
21,2024-07-03 21:00:00,107.62,104.73,117.65,118.068,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.7071067811865477,0.7071067811865474
22,2024-07-03 22:00:00,109.3,103.44,105.4,105.496,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384
23,2024-07-03 23:00:00,99.04,102.66,101.15,99.514,0,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,-0.25881904510252157,0.9659258262890681
